KEY,EN,RU,DE,FR,PL,KR,PT-BR,SPA,SWE,JP,ZH-HK,ZN-CN,FA,FI
GrazeGswOn,Graze GSW on,Поверхностное огнестрельное ранение на,Streifschuss an,Blessure par balle sur,Otarcie postrzałowe na,볼 총상 어디에,Ferimento a bala superficial no/a,Quemadura GSW en,Graze GSW on,擦り傷Gun,擦槍傷於,擦枪伤于,Graze GSW on,Luodin aiheuttama pintanaarmu
FleshGswOn,Flesh GSW on,Касательное огнестрельное ранение на,Fleischwunde an,Chair abîmé par balle sur,Rana postrzałowa na,육체 총상 어디에,Ferimento muscular a bala no/a,Herida GSW en,Flesh GSW on,肉傷Gun,肉槍傷於,肉枪伤于,Flesh GSW on,Luodin aiheuttama lihashaava
PenetratingGswOn,Penetrating GSW on,Слепое огнестрельное ранение на,Schutz-durchdringende Schussverletzung an,Pénétration d'une balle sur,Spenetrowanie postrzeleniem na,침투하는 총상 어디에,Ferimento a bala com alojamento no/a,Penetracion GSW en,Penetrating GSW on,貫通銃傷,穿透性槍傷於,穿透性枪伤于,Penetrating GSW on,Luodin aiheuttama tunkeutumishaava
PerforatingGswOn,Perforating GSW on,Сквозное огнестрельное ранение на,Durchschuss an,Perforation d'une balle sur,Zniekształcenia postrzałowe na,관통 총상 어디에,Uma bala atravessou seu/sua,Perforacion GSW en,Perforating GSW on,貫通銃傷,貫通性槍傷於,贯通性枪伤于,Perforating GSW on,Luodin aiheuttama lävistyshaava
AvulsiveGswOn,Avulsive GSW on,Рваное огнестрельное ранение на,Fleisch-reissende Schussverletzung an,Avulsive GSW on,Oskurowanie postrzeleniem na,격렬한 총상 어디에,Ferimento a bala avulsivo no/a,Avulsion GSW,Avulsive GSW on,引き裂かれた銃傷,撕裂性槍傷於,撕裂性枪伤于,Avulsive GSW on,Luodin aiheuttama ihorepeämä
,,,,,,,,,,,,,,
HeavyBrainDamage,Heavy brain damage,Тяжелое повреждение мозга,Schwerer Hirnschaden,Lourds dégâts cérébraux,Poważne uszkodzenie mózgu,심각한 뇌 손상,Dano cerebral pesado,Daño cerebral grave,Heavy brain damage,重度の脳損傷,嚴重腦損傷,严重脑损伤,Heavy brain damage,Vakava aivovahinko
,,,,,,,,,,,,,,
LightBruise,Light bruise,Легкий ушиб,Leichte Prellung,Léger bleu,Lekkie zacięcie,가벼운 타박상,Ferimento leve,Moraton leve,Light bruise,軽度のあざ,輕度瘀傷,轻度瘀伤,Light bruise,Pieni mustelma
LightBruiseOn,Light bruise on,Легкий ушиб на,Leichte Prellung an,Léger bleu activé,Lekkie zacięcie na,가벼운 타박상 ,Ferimento leve no/a,Moraton leve en ,Light bruise on,軽度のあざ,輕度瘀傷於,轻度瘀伤于,Light bruise on,Pieni mustelma
MediumBruiseOn,Medium bruise on,Средний ушиб на,Mittlere Prellung an,Bleu activé,Średnie zacięcie na,중간 타박상 켜짐,Ferimento médio no/a,Moraton medio en,Medium bruise on,中程度のあざ,中度瘀傷於,中度瘀伤于,Medium bruise on,Keskikokoinen mustelma
HeavyBruiseOn,Heavy bruise on,Серьезный ушиб на,Schwere Prellung an,Gros bleu activé,Poważne zacięcie na,심각한 타박상 켜짐,Ferimento pesado no/a,Moraton grave en,Heavy bruise on,重度のあざ,重度瘀傷於,重度瘀伤于,Heavy bruise on,Suuri mustelma
AbrasionWoundOn,Abrasion wound on,Содрана кожа на,Schürfwunde an,Éraflure,Przetarcie rany na,마모 상처 켜짐,Ferida abrasiva no/a,Herida de quemadura en,Abrasion wound on,擦り傷,擦傷於,擦伤于,Abrasion wound on,Ruhje
WindedFromImpact,Winded from impact,Головокружение от удара,Außer Atem durch Treffer,Vertiges du au choc,Powalenie po uderzeniu,충격 때문에 숨이 헐떡임,Falta de ar causada pelo impacto,Aturdido por el impacto,Winded from impact,息ができないほどの衝撃,被撞擊得透不過氣,被撞击得透不过气,Winded from impact,Hengästynyt törmäyksestä
,,,,,,,,,,,,,,
IncisionWoundOn,Incision wound to the,Поверхностное ранение на,Schnittwunde an,Plaie superficielle sur,Naciencię na,절개 상처 어디에,Sofreu uma incisão no/a,Incision,Incision wound to the,切り傷,切傷於,切伤于,Incision wound to the,Viilto
LacerationWoundOn,Laceration wound to the,Рваная рана на,Reisswunde an,Lacération de la plaie sur,Skaleczenie na,열상 상처 어디에,Sofreu uma laceração no/a,Laceracion,Laceration wound to the,引き裂かれた傷,撕裂傷於,撕裂伤于,Laceration wound to the,Ruhje
StabWoundOn,Stab wound to the,Колотое ранение на,Stichwunde an,Coup de couteau sur,Rana kłuta na,찌린 상처 어디에,Levou uma facada no/a,Puñalada,Stab wound to the,刺し傷,刺傷於,刺伤于,Stab wound to the,Pistohaava
,,,,,,,,,,,,,,
Blackout,Blackout possible,Возможна потеря сознания,Möglicher Gedächtnisverlust,Risque d'évanouïssement,Zamroczenie,의식 상실 가능성이 있다,Desmaiou,Posible desmayo,Blackout possible,昏睡,昏厥,昏厥,Blackout possible,Tajunnan menetys mahdollista
BleedingInHead,Intracranial bleeding,Кровотечение в мозг,Kopfblutung,Saignement à la tête,Krwawienie wnętrzoczaskowe,머리에서 출혈,Hemorragia na cabeça,Hemorragia intercraneal,Intracranial bleeding,頭部出血,頭部出血,头部出血,Intracranial bleeding,Kallonsisäistä verenvuotoa
TraumaticBrainInjury,Traumatic brain injury,Тяжелая травма головного мозга,Schädeltrauma,Lésion cérébrale traumatique,Traumatyczne uszkodzenie mózgu,외상성 뇌 손상,Traumatismo crâniano,Traumatismo cerebral,Traumatic brain injury,外傷性脳損傷,創傷性腦損傷,创伤性脑损伤,Traumatic brain injury,Vakava aivovamma
BrokenNeck,Damage to cervical vertebrae,Повреждение шейных позвонков,Gebrochenes Genick,Nuque brisée,Złamany lub skręcony kark; uszkodzenie rdzeniu kręgowego,목이 부러짐,Pescoço quebrado,Cuello roto o dañado; vertebra cervical dañada,Broken or sprained neck; damage to cervical vertebrae,頚椎骨折,頸椎骨折,颈椎骨折,Damage to cervical vertebrae,Kaulanikama vahingoittunut
,,,,,,,,,,,,,,
YourHealth,Your health,Ваше здоровье,,Votre santé,,,,,,あなたの健康状態,你的健康狀況,你的健康状况,,Sinun terveys
HisHealth,His health,Его здоровье,,Sa santé,,,,,,彼の健康状態,他的健康狀況,他的健康状况,,Hänen terveys
HerHealth,Her health,Её здоровье,,Sa santé,,,,,,彼女の健康状態,她的健康狀況,她的健康状况,,Hänen terveys
Dead,Dead,Мёртв,,Mort,,,,,,死亡,死亡,死亡,,Kuollut
Pain,Pain,Боль,Schmerz,Douleur,Ból,통증,Dor,Dolor,Pain,痛み,疼痛,疼痛,Pain,Kipu
PainIncreasedMessage,You feel terrible...,Вы чувствуете себя хуже...,,,,,,,,痛みが増す（通知）,疼痛加劇（提示）,疼痛加剧（提示）,,Sinulla on huono olo...
PainDecreasedMessage,You feel better,Вы чувствуете себя лучше,,,,,,,,痛みが軽減（通知）,疼痛減輕（提示）,疼痛减轻（提示）,,Sinusta tuntuu paremmalta
TotallyHealedMessage,You are totally healed!,Вы абсолютно здоровы,,,,,,,,完全に回復（通知）,完全康復（提示）,完全康复（提示）,,Olet täysin parantunut!
,,,,,,,,,,,,,,
ArmorClassI,Armor Level I (melee),Броня I класса защиты (ближний бой),,,,,,,,アーマークラス I,護甲等級 I,护甲等级 I,,Panssari suojaa veitsiltä
ArmorClassII,Armor Level II (pistols),Броня II класса защиты (пистолеты),,,,,,,,アーマークラス II,護甲等級 II,护甲等级 II,,Panssari suojaa pistooleilta
ArmorClassIII,Armor Level III (carbines),Броня III класса защиты (дробовики),,,,,,,,アーマークラス III,護甲等級 III,护甲等级 III,,Panssari suojaa haulikoilta
ArmorClassIV,Armor Level IV (rifles),Броня IV класса защиты (карабины),,,,,,,,アーマークラス IV,護甲等級 IV,护甲等级 IV,,Panssari suojaa pienikaliiperisilta kivääreiltä
ArmorClassV,Armor Level V (rifles),Броня V класса защиты (винтовки),,,,,,,,アーマークラス V,護甲等級 V,护甲等级 V,,Panssari suojaa isokaliiperisilta kivääreiltä
,,,,,,,,,,,,,,
,"Write correctly! Eg, ""Critical damaged nerves heart legs""",,,,,,,,,,,,,
Crits,Critical damaged,Критически повреждены,Kritischer Schaden an,Dégât critique,Krytyczne obrażenia,치명적인 손상,Dano critico,Daño critico a ,Critical damage to,重傷,重創,重创,Critical damaged,Kriittisesti vahingoittunut
NervesCrit,spine,позвоночник,,,,,,,,神経系の重傷,神經重創,神经重创,,
HeartCrit,heart,сердце,Herz,le coeur,Serce,심장,Coração,Corazon,heart,心臓の重傷,心臟重創,心脏重创,heart,Sydän
LungsCrit,lungs,легкие,Lungen,les poumons,Płuca,폐,Pulmões,Pulmones,lungs,肺の重傷,肺部重創,肺部重创,lungs,Keuhkot
StomachCrit,stomach,желудок,Bauch,l'estomac,Żołądek,복부,Estômago,Estomago,stomach,胃の重傷,胃部重創,胃部重创,stomach,Vatsa
GutsCrit,guts,кишечник,Innereien,l'intestin,Wnętrzności,창자,Intestino,Intestinos,guts,内臓の重傷,內臟重創,内脏重创,guts,Suolet
ArmsCrit,arms,руки,Arme, les bras,Ręce,팔,Braços,Brazos,arms,腕の重傷,手臂重創,手臂重创,arms,Kädet
LegsCrit,legs,ноги,Beine, les jambes,Nogi,다리,Pernas,Piernas,legs,脚の重傷,腿部重創,腿部重创,legs,Jalat
,,,,,,,,,,,,,,
DontHaveMoneyForHelmet,Insufficient funds to purchase a helmet,Недостаточно денег для покупки шлема,Du hast nicht genug Geld für einen Helm,Vous n'avez pas assez d'argent pour acheter un casque,Nie masz wystarczających pieniędzy aby kupić hełm,당신은 헬멧을 사기에 충분한 돈을 가지고 있지 않다,Você não tem dinheiro suficiente para comprar um capacete,No tienes suficientes fondos para comprar un casco,Insufficient funds to purchase helmet,ヘルメットを買うお金がない,沒有錢買頭盔,没有钱买头盔 ,Insufficient funds to purchase a helmet,Ei tarpeeksi varoja kypärän ostamiseen
,,,,,,,,,,,,,,
Wounds,Wounds,Ранения,Wunden,Blessures,Rany,상처,Ferimentos,Heridas,Wounds,傷口,傷口,伤口,Wounds,Vammat
InternalBleeding,Internal bleeding,Внутреннее кровотечение,Innere Blutungen,Hémorragie interne,Krwawienie wewnętrzne,내부 출혈,Sangramento interno,Hemorragia interna,Internal bleeding,内出血,內出血,内出血,Internal bleeding,Sisäinen verenvuoto
SeveredArtery,Punctured artery,Разорванная артерия,Verletzte Arterie,Artère touchée,Przecięta tętnica,절단 동맥,Artéria cortada,Arteria pinchada,Punctured artery,動脈断裂,動脈斷裂,动脉断裂,Punctured artery,Puhjennut valtimo
SeveredArteryMessage,An artery was severed,Артерия была повреждена,Arterie wurde verletzt!,L'artère a été touchée,Masz przeciętą tętnice!,동맥이 절단되었다!,Artéria foi cortada!,¡Una arteria se ha roto!,An artery was severed!,動脈断裂（通知）,動脈斷裂（提示）,动脉断裂（提示）,An artery was severed,Valtimo katkesi
,,,,,,,,,,,,,,
PlayerNervesCritMessage,You can not feel your limbs...,Вы не чувствуете свои ноги и руки...,Es scheint als könntest du deine Arme und Beine nicht mehr kontrollieren,Vous ne maîtrisez plus vos jambes ni vos bras,Czujesz jak tracisz kontrole nad rękami i nogami,당신은  더 이상 팔과 다리를 움직일수 없다는걸 느꼇다,Você sente que não pode mais controlar seus braços e pernas,Daño en el sistema nervioso detectado,Spinal/nervous system damage detected,プレイヤーの神経系の重傷（通知）,玩家神經重創（提示）,玩家神经重创（提示）,You can't feel your limbs,Et tunne sinun raajojasi...
ManNervesCritMessage,It looks like his spine was damaged,Похоже у него поврежден позвоночник,Er sieht aus als ob sein Rückgrat verletzt wurde,On dirait que sa colonne vertébrale a été touchée,Wygląda na to że nerwy mu padły,그의 척추가 손상된 것처럼 보인다,Ele parece estar com sua espinha foi danificada,Parece que su columna ha sido dañada,He looks like his spine was damaged,男性の神経系の重傷（通知）,男性神經重創（提示）,男性神经重创（提示）,He looks like his spine was damaged,Hän näyttää siltä kuin hänen selkärankansa olisi vaurioitunut
WomanNervesCritMessage,It looks like her spine was damaged,Похоже у нее поврежден позвоночник,Sie sieht aus als ob ihr Rückgrat verletzt wurde,On dirait que sa colonne vertébrale a été touchée,Wygląda na to że nerwy jej padły,그녀의 척추가 손상된 것처럼 보인다,Ela parece estar com sua espinha foi danificada,Parece que su columna ha sido dañada,She looks like her spine was damaged,女性の神経系の重傷（通知）,女性神經重創（提示）,女性神经重创（提示）,She looks like her spine was damaged,Hän näyttää siltä kuin hänen selkärankansa olisi vaurioitunut
,,,,,,,,,,,,,,
PlayerHeartCritMessage,You feel like your life is leaving you...,Вы чувствуете как жизнь покидает вас...,Du fühlst heftigen Schmerz in deiner Brust,Vous resentez une terrible douleur dans votre torse,Czyjesz olbrzymi ból w klatce piersiowej,당신은 끔찍한 통증을 가슴에서 느꼇다,Você sente uma dor terrível no seu peito,Daño en el sistema circulatorio detectado,Damage to circulatory system detected,プレイヤーの心臓の重傷（通知）,玩家心臟重創（提示）,玩家心脏重创（提示）,You feel like life is leaving you,Sinusta tuntuu että olet kuolemassa...
ManHeartCritMessage,He appears to be in terrible chest pain,Он кашляет кровью,Er hustet Blut,Il crache du sang,On kaszle krwią,그는 피를 기침한다,Ele parece estar com muita dor no peito,He appears to be in terrible chest pain,He appears to be in terrible chest pain,男性の心臓の重傷（通知）,男性心臟重創（提示）,男性心脏重创（提示）,He appears to be in terrible chest pain,Hän näyttää kärsivän hirveästä rintakivusta
WomanHeartCritMessage,She appears to be in terrible chest pain,Она кашляет кровью,Sie hustet Blut,Elle crache du sang,Ona kaszle krwią,그녀는 피를 기침한다,Ela parece estar com muita dor no peito,She appears to be in terrible chest pain,She appears to be in terrible chest pain,女性の心臓の重傷（通知）,女性心臟重創（提示）,女性心脏重创（提示）,She appears to be in terrible chest pain,Hän näyttää kärsivän hirveästä rintakivusta
,,,,,,,,,,,,,,
PlayerLungsCritMessage,You cough up blood,Вы кашлеете кровью,Du kannst nur noch schwer atmen,Vous avez du mal à repsirer,Trudnio ci się oddycha,당신이 숨을 쉬는 것은 매우 어렵다,Está difícil de respirar,Escupes sangre,You cough up blood,プレイヤーの肺の重傷（通知）,玩家肺部重創（提示）,玩家肺部重创（提示）,You cough up blood,Sinä yskit verta
ManLungsCritMessage,He coughs up blood,Он кашляет кровью,Er hustet Blut,Il crache du sang ,On kaszle krwią,그는 피를 기침한다,Ele está tossindo sangue,El escupe sangre,He coughs up blood,男性の肺の重傷（通知）,男性肺部重創（提示）,男性肺部重创（提示）,He coughs up blood,Hän yskii verta
WomanLungsCritMessage,She coughs up blood,Она кашляет кровью,Sie hustet Blut,Elle crache du sang,Ona kaszle krwią,그녀는 피를 기침한다,Ela está tossindo sangue,Ella escupe sangre,She coughs up blood,女性の肺の重傷（通知）,女性肺部重創（提示）,女性肺部重创（提示）,She coughs up blood,Hän yskii verta
,,,,,,,,,,,,,,
PlayerStomachCritMessage,You feel very sick,Вас сильно тошнит,Du fühlst dich sehr schlecht,Vous vous sentez très mal,Czujesz ból żołądka,당신은 매우 아프다,Você está se sentindo muito mal,Te encuentras muy mal,You feel very sick,プレイヤーの胃の重傷（通知）,玩家胃部重創（提示）,玩家胃部重创（提示）,You feel very sick,Tunnet olevasi hyvin sairas
ManStomachCritMessage,He looks very sick,Он выглядит будто его тошнит,Er sieht sehr schlecht aus,Il a l'air très malade,Boli go brzuch,그는 매우 아픈것 처럼 보여진다,Ele não parece estar bem,El parece encontrarse muy mal,He looks very sick,男性の胃の重傷（通知）,男性胃部重創（提示）,男性胃部重创（提示）,He looks very sick,Hän näyttää hyvin sairaalta
WomanStomachCritMessage,She looks very sick,Она выглядит будто ее тошнит,Sie sieht sehr schlecht aus,Elle a l'air très malade,Boli ją brzuch,그녀는 매우 아픈것 처럼 보여진다,Ela não parece estar bem,Ella parece encontrarse muy mal,She looks very sick,女性の胃の重傷（通知）,女性胃部重創（提示）,女性胃部重创（提示）,She looks very sick,Hän näyttää hyvin sairaalta
,,,,,,,,,,,,,,
PlayerGutsCritMessage,You can see your guts...,Вы видите ваши внутренности...,Du fühlst dich sehr schlecht,Vous vous sentez très malade,Wnętrzności ci się psują,당신은 매우 아프다,Seu intestino está prestes a sair,Te encuentras muy mal,You feel very sick,プレイヤーの内臓の重傷（通知）,玩家內臟重創（提示）,玩家内脏重创（提示）,You feel very sick,Näet suolesi...
ManGutsCritMessage,He looks very sick,Его кишечник лезет наружу,Er sieht sehr schlecht aus,Il a l'air très malade,Jego wnętrzności są zepsute,그는 매우 아픈것 처럼 보여진다 ,Os intestinos dele estão à mostra,El parece encontrarse muy mal,He looks very sick,男性の内臓の重傷（通知）,男性內臟重創（提示）,男性内脏重创（提示）,He looks very sick,Hän näyttää hyvin sairaalta
WomanGutsCritMessage,She looks very sick,Ее кишечник лезет наружу,Sie sieht sehr schlecht aus,Elle a l'air très malade,Jej wnętrzności są zepsute,그녀는 매우 아픈것 처럼 보여진다,Os intestinos dela estão à mostra,Ella parece encontrarse muy mal,She looks very sick,女性の内臓の重傷（通知）,女性內臟重創（提示）,女性内脏重创（提示）,She looks very sick,Hän näyttää hyvin sairaalta
,,,,,,,,,,,,,,
PlayerArmsCritMessage,You feel awful pain in your arm,Вы чувствуете ужасную боль в руке,Sieht so aus als wäre ein Arm gebrochen,On dirait que l'os du bras est cassé,Złamałeś ręke.,팔 뼈가 부러진 것 같다,Seu braço está doendo muito,Posible hueso roto del brazo,Possible broken arm bone,プレイヤーの腕の重傷（通知）,玩家手臂重創（提示）,玩家手臂重创（提示）,You feel awful pain in your arm,Tunnet hirveän kivun kädessäsi
ManArmsCritMessage,His arm looks broken,Его рука выглядит плохо,Sein Arm sieht sehr schlecht aus,Son bras a l'air cassé,Złamał ręke,그의 팔의 상태가 매우 않 좋다,Ele parece ter quebrado o braço,Su brazo parece estar roto,His arm looks broken,男性の腕の重傷（通知）,男性手臂重創（提示）,男性手臂重创（提示）,His arm looks broken,Hänen käsi näyttää murtuneelta
WomanArmsCritMessage,Her arm looks broken,Ее рука выглядит плохо,Ihr Arm sieht sehr schlecht aus,Son bras a l'air cassé,Złamała ręke,그녀의 팔의 상태가 매우 않 좋다,Ela parece ter quebrado o braço,Su brazo parece estar roto,Her arm looks broken,女性の腕の重傷（通知）,女性手臂重創（提示）,女性手臂重创（提示）,Her arm looks broken,Hänen käsi näyttää murtuneelta
,,,,,,,,,,,,,,
PlayerLegsCritMessage,You feel awful pain in your leg,Вы чувствуете ужасную боль в ноге,Sieht so aus als wäre ein Bein gebrochen,On dirait que l'os de la jambe est cassé,Złamałeś nogi,다리 뼈가 부러진 것 같다,Sua perna está doento muito,"Posible rotura, torcedura o herida en la pierna o el tobillo","Possible broken, sprained or injured leg or ankle",プレイヤーの脚の重傷（通知）,玩家腿部重創（提示）,玩家腿部重创（提示）,You feel awful pain in your leg,Tunnet hirveän kivun jalassasi
ManLegsCritMessage,His leg looks broken,Его нога выглядит плохо,Sein Bein sieht sehr schlecht aus,Sa jambe a l'air cassé,Złamał nogi,그의 다리의 상태가 매우 않 좋다,Ele parece ter quebrado a perna,Su pierna parece estar rota,His leg looks broken,男性の脚の重傷（通知）,男性腿部重創（提示）,男性腿部重创（提示）,His leg looks broken,Hänen jalkansa näyttää murtuneelta
WomanLegsCritMessage,Her leg looks broken,Ее нога выглядит плохо,Ihr Bein sieht sehr schlecht aus,Sa jambe a l'air cassé,Złamała nogi,그녀의 다리의 상태가 매우 않 좋다,Ela parece ter quebrado a perna,Su pierna parece estar rota,Her leg looks broken,女性の脚の重傷（通知）,女性腿部重創（提示）,女性腿部重创（提示）,Her leg looks broken,Hänen jalkansa näyttää murtuneelta
,,,,,,,,,,,,,,
UnbearablePainMessage,You lose consciousness from the overwhelming pain,Вы теряете сознание от болевого шока,Du bist im Schock und verlierst das Bewusstsein!,"Vous avez un choc de douleur, vous perdez conscience !",Boli cię zbyt mocno! Tracisz przytomność,당신은 통증 쇼크를 얻었다! 당신은 의식을 읽었다!,A dor foi tanta que você perdeu a consciencia,Pierdes la consciencia debido a un alto dolor,You lose consciousness from overwhelming pain,耐え難い痛み,難以忍受的疼痛,难以忍受的疼痛  ,You lose consciousness from the overwhelming pain,Menetät tajuntasi sietämättömästä kivun määrästä
,,,,,,,,,,,,,,
AddingRange,Radius to Scan,Радиус поиска,,,,,,,,範囲拡大,範圍增加,范围增加,,Skannauksen kantama
RemovingRange,Radius to Remove,Радиус удаления,,,,,,,,範囲縮小,範圍減少,范围减少,,Poistamisen kantama
,,,,,,,,,,,,,,
ThanksForUsing,Thanks for using,Спасибо за использование,Danke für die Verwendung von,Merci pour votre utilisation,Dziękuje za użycie moda!,사용해 주어서 고맙다,Obrigado por usar,Gracias por usar,Thanks for using,ご利用ありがとうございます,感謝使用,感谢使用,Thanks for using,Kiitos kun käytät
GswStopped,Something went wrong with GSW2 :(,"К сожалению, GSW2 поломался, извини уж :(","GSW2 funktioniert nicht mehr, tut mir leid :(","GSW2 s'est arrêté, désolé :(","GSW2 przestało działać, Przepraszamy :(","GSW2는 멈추었다, 미안하다 :(","GSW2 parou, desculpe :(",Las operaciones de GSW2 han acabado :(,GSW2 operations have ended,銃傷が止まった,槍傷停止,枪伤停止,"GSW2 operations have ended :( Please, send logs to SH42913",GSW2 lakkasi toimimasta :(
GswIsPaused,GSW2 is paused,Работа GSW2 приостановлена,GSW2 ist pausiert,GSW2 est en pause,GSW2 zostało zatrzymane,GSW2가 중지되었다,O GSW2 está em pausa,GSW2 esta en pausa,GSW2 is paused,銃傷が一時停止された,槍傷暫停,枪伤暂停,GSW2 is paused,GSW2 on pysäytetty
GswIsWorking,GSW2 is working,Работа GSW2 продолжается,GSW2 ist bereit,GSW2 fonctionne,GSW2 działa,GSW2가 작둥중이다,GSW2 está funcionando,GSW2 esta funcionando,GSW2 is working,銃傷処理中,槍傷正在處理,枪伤正在处理,GSW2 is working,GSW2 on päällä
GswPauseTip,You can pause GSW2 while in mission using {0} button,Вы можете приостановить GSW2 во время миссии используя клавишу {0},,,,,,,,銃傷の一時停止通知,槍傷暫停提示,枪伤暂停提示,,On mahdollista pysäyttää GSW2 tehtävän aikana painamalla {0}
,,,,,,,,,,,,,,
AlreadyBandaging,You are already bandaging,Вы уже накладываете бинты,,,,,,,,すでに包帯を巻いている,已經在包紮,已经在包扎,,Olet valmiiksi sitomassa
YouTryToBandage,You're trying to bandage. You need to stand still for {0} seconds!,Вы пытаетесь наложить бинты. Нужно стоять без движения {0} секунд!,,,,,,,,包帯を巻こうとしている,嘗試包紮,尝试包扎,,Yrität sitoa. Sinun täytyy seisoa paikalla {0} sekunnin ajan!
BandagingProgress,You're applying bandages,Вы накладываете бинты,,,,,,,,,,,,
BandageFailed,Bandaging has failed. You need to stand still to apply a bandage!,Перевязка не удалась. Нужно стоять без движения!,Verbinden schlug fehl. Du must stillstehen zum verbinden!,Vous n'avez pas réussi à vous mettre un bandage. Vous ne devez pas bouger pour appliquer un bandage !,Bandażowanie nie udało się. Podczas nakładania opatrunku nie ruszaj się!,붕대 감기가 실패했다 붕대를 감을때 까지 서있어야 한다,Não conseguiu se enfaixar. Você precisa ficar parado para se enfaixar!,La curación ha fallado. ¡Necesitas estar quieto para vendarte!,Bandaging is failed. You need to stand still for apply a bandage!,包帯巻き失敗,包紮失敗,包扎失败,Bandaging has failed. You need to stand still to apply a bandage!,Sitominen epäonnistui. Sinun täytyy seisoa paikalla asettaaksesi siteen!
BandageSuccess,You applied a bandage to {0},Вы наложили бинт на {0},Du hast {0} verbunden,Vous avez appliqué un bandage à {0},Założyłeś bandaż na {0},당신은 {0} 에 붕대를 감았다,Você conseguiu enfaixar seu/sua {0},Has aplicado una venda a {0},You applied bandage to {0},包帯巻き成功,包紮成功,包扎成功,You applied a bandage to {0},Side on {0}
ArmorDestroyed,Your armor falls apart,Ваш бронежилет развалился на куски,Deine Rüstung ist kaputt,Votre blindage tombe en morceaux,Twoja zbroja została zniszczona!,당신의 갑옷이 떨어졌다,Sua armadura quebrou!,Tu chaleco se desprende,Your armor falls apart,アーマーが損傷した,護甲受損,护甲损坏,Your armor falls apart,Panssarisi hajoaa 
PainShockDeath,You have died of pain shock,Вы погибли от болевого шока,Du bist an einem Schock gestorben,Vous êtes mort du choc de douleur,Umarłeś z powodu nadmiaru bólu (Wstrząs bólowy),당신은 통증 때문에 죽었다,Você não resistiu a dor,Has muerto por una conmocion,You have died of shock,激痛でショック死,疼痛休克致死,疼痛休克致死,You have died of shock,Kuolit kipušokkiin
DeathReason,Death reason,Причина смерти,,,,,,,,死亡原因,死亡原因,死亡原因,,Kuolinsyy
BleedingReason,Bleeding,Кровотечение,,,,,,,,出血原因,出血原因,出血原因,,Verenvuoto
RunningWithScissors,Running with major injury is not a good idea,Бегать с серьёзным ранением не очень хорошая идея,,,,,,,,はさみを持ったまま走っている（警告）,拿著剪刀亂跑（警告）,拿着剪刀乱跑（警告）,,{0} Terveydellä juokseminen ei ole hyvä idea
,,,,,,,,,,,,,,
FoundItems,You've got:,Вы получили:,,,,,,,,,,,,
YourInventory,In inventory:,В инвентаре:,,,,,,,,,,,,
XBandages,{0} bandages,{0} бинтов,,,,,,,,X個の絆創膏,X絆帶,X绷带,,{0} sideharsoa
XPainkillers,{0} painkillers,{0} обезбаливающих,,,,,,,,X個の鎮痛剤,X止痛藥,X止痛药,,{0] särkylääkettä
